,abordagem,size_page,precision_query,recall_query,f1-score_query,ndcg_query,precision_sinonimos,recall_sinonimos,f1-score_sinonimos,ndcg_sinonimos,precision_erros_digitacao,recall_erros_digitacao,f1-score_erros_digitacao,ndcg_erros_digitacao,precision_reordenados,recall_reordenados,f1-score_reordenados,ndcg_reordenados
17,q_bv2,5,0.8,0.8,0.8000000000000002,0.9395225786842205,0.4,0.4,0.4000000000000001,0.9790187994940358,0.8,0.8,0.8000000000000002,0.9719643720954755,0.6,0.6,0.6,0.9807710461847231
18,mpnet,5,0.6,0.6,0.6,1.0,0.6,0.6,0.6,0.8915583386883646,0.6,0.6,0.6,1.0,0.6,0.6,0.6,1.0
19,labase,5,0.6,0.6,0.6,1.0,0.6,0.6,0.6,0.8106961231285943,0.6,0.6,0.6,1.0,0.6,0.6,0.6,1.0
20,all_mini,5,0.6,0.10344827586206896,0.17647058823529413,1.0,0.0,0.0,0,0,0.4,0.06896551724137931,0.1176470588235294,1.0,0.6,0.10344827586206896,0.17647058823529413,1.0
21,q_bv2,5,0.2,0.034482758620689655,0.0588235294117647,1.0,0.4,0.06896551724137931,0.1176470588235294,1.0,0.2,0.034482758620689655,0.0588235294117647,1.0,0.2,0.034482758620689655,0.0588235294117647,1.0
22,mpnet,5,0.4,0.06896551724137931,0.1176470588235294,0.8772153153380493,0.0,0.0,0,0,0.2,0.034482758620689655,0.0588235294117647,0.4306765580733931,0.2,0.034482758620689655,0.0588235294117647,1.0
23,labase,5,0.4,0.06896551724137931,0.1176470588235294,0.9197207891481876,0.6,0.10344827586206896,0.17647058823529413,0.8854598815714875,0.4,0.06896551724137931,0.1176470588235294,0.8503449055347546,0.4,0.06896551724137931,0.1176470588235294,1.0
24,all_mini,5,1.0,0.2777777777777778,0.4347826086956522,1.0,1.0,0.2777777777777778,0.4347826086956522,1.0,1.0,0.2777777777777778,0.4347826086956522,1.0,1.0,0.2777777777777778,0.4347826086956522,1.0
25,q_bv2,5,0.6,0.16666666666666666,0.2608695652173913,0.9502537878387615,0.2,0.05555555555555555,0.08695652173913045,0.7967075809905066,0.4,0.1111111111111111,0.1739130434782609,0.9143091486983557,0.6,0.16666666666666666,0.2608695652173913,0.9674679834891694
26,mpnet,5,0.2,0.05555555555555555,0.08695652173913045,0.4935456744811716,0.2,0.05555555555555555,0.08695652173913045,0.6309297535714574,0.8,0.2222222222222222,0.3478260869565218,1.0,0.6,0.16666666666666666,0.2608695652173913,0.6182885020492787
27,labase,5,1.0,0.2777777777777778,0.4347826086956522,1.0,0.6,0.16666666666666666,0.2608695652173913,0.8854598815714875,1.0,0.2777777777777778,0.4347826086956522,1.0,1.0,0.2777777777777778,0.4347826086956522,1.0
28,all_mini,5,1.0,0.22727272727272727,0.37037037037037035,1.0,1.0,0.22727272727272727,0.37037037037037035,1.0,1.0,0.22727272727272727,0.37037037037037035,1.0,1.0,0.22727272727272727,0.37037037037037035,1.0
29,q_bv2,5,0.8,0.18181818181818182,0.2962962962962963,1.0,0.0,0.0,0,0,0.8,0.18181818181818182,0.2962962962962963,0.9719643720954755,0.6,0.13636363636363635,0.22222222222222218,1.0
30,mpnet,5,1.0,0.22727272727272727,0.37037037037037035,1.0,0.0,0.0,0,0,1.0,0.22727272727272727,0.37037037037037035,1.0,1.0,0.22727272727272727,0.37037037037037035,1.0
31,labase,5,0.8,0.18181818181818182,0.2962962962962963,0.989141344633751,0.8,0.18181818181818182,0.2962962962962963,0.9395225786842205,0.8,0.18181818181818182,0.2962962962962963,0.989141344633751,0.8,0.18181818181818182,0.2962962962962963,1.0
32,all_mini,5,0.8,0.2,0.32000000000000006,0.989141344633751,1.0,0.25,0.4,1.0,0.6,0.15,0.24,1.0,0.8,0.2,0.32000000000000006,1.0
33,q_bv2,5,0.4,0.1,0.16000000000000003,0.9924746272747981,0.6,0.15,0.24,0.9604133524599737,0.4,0.1,0.16000000000000003,0.7175937167816352,0.6,0.15,0.24,0.9469024295259745
34,mpnet,5,0.8,0.2,0.32000000000000006,1.0,1.0,0.25,0.4,1.0,0.4,0.1,0.16000000000000003,0.5437713091520254,0.4,0.1,0.16000000000000003,0.8772153153380493
35,labase,5,0.4,0.1,0.16000000000000003,0.9197207891481876,0.6,0.15,0.24,1.0,0.4,0.1,0.16000000000000003,0.9197207891481876,0.8,0.2,0.32000000000000006,1.0
36,all_mini,5,0.2,0.03225806451612903,0.05555555555555555,0.850834274847108,0.0,0.0,0,0,0.2,0.03225806451612903,0.05555555555555555,0.7979168917078058,0.2,0.03225806451612903,0.05555555555555555,0.7979168917078058
37,q_bv2,5,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0,0
38,mpnet,5,0.8,0.12903225806451613,0.2222222222222222,0.9828920819566878,1.0,0.16129032258064516,0.27777777777777773,1.0,0.6,0.0967741935483871,0.16666666666666666,0.9674679834891694,0.0,0.0,0,0.6309297535714575
39,labase,5,1.0,0.16129032258064516,0.27777777777777773,1.0,0.2,0.03225806451612903,0.05555555555555555,1.0,1.0,0.16129032258064516,0.27777777777777773,1.0,1.0,0.16129032258064516,0.27777777777777773,1.0
40,all_mini,5,1.0,0.21739130434782608,0.3571428571428571,1.0,0.6,0.13043478260869565,0.21428571428571427,0.9807710461847231,1.0,0.21739130434782608,0.3571428571428571,1.0,1.0,0.21739130434782608,0.3571428571428571,1.0
