,abordagem,size_page,precision_query,recall_query,f1-score_query,ndcg_query,precision_sinonimos,recall_sinonimos,f1-score_sinonimos,ndcg_sinonimos,precision_erros_digitacao,recall_erros_digitacao,f1-score_erros_digitacao,ndcg_erros_digitacao,precision_reordenados,recall_reordenados,f1-score_reordenados,ndcg_reordenados
122,mpnet,20,0.1,0.5,0.16666666666666669,0.7126684670333224,0.0,0.0,0,0,0.1,0.5,0.16666666666666669,0.8612711493289702,0.1,0.5,0.16666666666666669,0.6639608566367542
123,labase,20,0.05,0.25,0.08333333333333334,0.7930395005269235,0.0,0.0,0,0,0.05,0.25,0.08333333333333334,0.7171742744984755,0.05,0.25,0.08333333333333334,0.9126101934107071
124,all_mini,20,0.35,1.0,0.5185185185185185,0.8800946162318573,0.15,0.42857142857142855,0.2222222222222222,0.5094105703338232,0.25,0.7142857142857143,0.37037037037037035,0.8615640486014601,0.3,0.8571428571428571,0.4444444444444444,0.8792604076610682
125,q_bv2,20,0.3,0.8571428571428571,0.4444444444444444,0.9336094830990768,0.2,0.5714285714285714,0.29629629629629634,0.9500992643404543,0.1,0.2857142857142857,0.14814814814814817,0.6793688863102706,0.3,0.8571428571428571,0.4444444444444444,0.8136899449607067
126,mpnet,20,0.25,0.7142857142857143,0.37037037037037035,0.9491880565671063,0.0,0.0,0,0.3382821118732559,0.0,0.0,0,0,0.2,0.5714285714285714,0.29629629629629634,0.9340812819916354
127,labase,20,0.3,0.8571428571428571,0.4444444444444444,0.799138610213164,0.25,0.7142857142857143,0.37037037037037035,0.7179502238487244,0.25,0.7142857142857143,0.37037037037037035,0.8049332192436953,0.35,1.0,0.5185185185185185,0.7976917591934363
128,all_mini,20,0.1,0.3333333333333333,0.15384615384615383,0.9422262228846993,0.0,0.0,0,0.3333333333333333,0.15,0.5,0.23076923076923075,0.7376418756639765,0.1,0.3333333333333333,0.15384615384615383,0.946666830499164
129,q_bv2,20,0.15,0.5,0.23076923076923075,0.680480388122176,0.0,0.0,0,0.26264953503719357,0.05,0.16666666666666666,0.07692307692307691,0.6264649319576009,0.05,0.16666666666666666,0.07692307692307691,0.5629746434818941
130,mpnet,20,0.1,0.3333333333333333,0.15384615384615383,0.6390745982721099,0.0,0.0,0,0,0.0,0.0,0,0,0.05,0.16666666666666666,0.07692307692307691,0.9243382314975351
131,labase,20,0.1,0.3333333333333333,0.15384615384615383,0.440100267932595,0.05,0.16666666666666666,0.07692307692307691,0.4539434726620534,0.0,0.0,0,0.618890676363047,0.1,0.3333333333333333,0.15384615384615383,0.4623121274823297
132,all_mini,20,0.0,0.0,0,1.0,0.0,0.0,0,0,0.0,0.0,0,1.0,0.0,0.0,0,1.0
133,q_bv2,20,0.0,0.0,0,0.9059521745150695,0.0,0.0,0,0,0.0,0.0,0,0.8778194821576367,0.0,0.0,0,0.8553745470657825
134,mpnet,20,0.0,0.0,0,0.9955387114013351,0.0,0.0,0,0,0.0,0.0,0,0.8731541261529548,0.0,0.0,0,0.5912352048230277
